name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Urate,0.80951,0.0,0.214,0.175,1,0.0667,Urate,4.68,1792,9.15,2.10 <= Urate < 2.90,Urate,Urate,0,0,0.0
Treatment/medication code | Array 0 allopurinol,0.30571,0.0,0.392,0.392,1,0.04136,Treatment/medication code | Array 0__allopurinol,6.97,3425,26.06,Treatment/medication code | Array 0__allopurinol >= 0.50,Treatment/medication code | Array 0 allopurinol,Treatment/medication code | Array 0 allopurinol,0,0,0.0
Hip circumference,0.09536,0.0,0.022,0.018,1,0.00228,Hip circumference,1.21,1302,1.73,2.80 <= Hip circumference < 4.50,Hip circumference,Hip circumference,0,0,0.0
Number of self-reported non-cancer illnesses,0.0883,0.0,0.138,0.121,1,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,2.96,Number of self-reported non-cancer illnesses >= 3.00,Number of self-reported non-cancer illnesses,Number of self-reported non-cancer illnesses,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication_None",0.08639,0.0,-0.032,-0.032,1,0.00052,"Medication for cholesterol, blood pressure or diabetes Medication_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes Medication_None < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None","Medication for cholesterol, blood pressure or diabetes Medication_None",0,0,0.0
Number of treatments/medications taken,0.0825,0.0,0.136,0.118,1,0.01001,Number of treatments/medications taken,2.16,4076,9.62,Number of treatments/medications taken >= 2.00,Number of treatments/medications taken,Number of treatments/medications taken,0,0,0.0
Home area population density - urban or rural_Scotland - Large Urban Area,0.08043,0.0,-0.052,-0.052,1,0.00179,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,98.46,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 gout",0.06038,0.0,0.223,0.223,1,0.01317,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,9.0,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50","Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1 gout",0,0,0.0
Apolipoprotein A Blood biochemistry,0.05398,0.01266,-0.012,-0.01,1,0.01019,Apolipoprotein A Blood biochemistry,1.15,7980,10.0,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0,0,0.0
Water intake,0.04826,0.0,0.056,0.049,1,0.00186,Water intake,1.33,8123,11.8,1.30 <= Water intake < 9.70,Water intake,Water intake,0,0,0.0
Vascular/heart problems diagnosed by doctor_None of the above,0.04797,0.0,-0.115,-0.115,1,0.0066,Vascular/heart problems diagnosed by doctor_None of the above,1.38,41874,62.89,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,Vascular/heart problems diagnosed by doctor_None of the above,Vascular/heart problems diagnosed by doctor_None of the above,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_None",0.0477,0.0,-0.032,-0.032,1,0.00052,"Medication for cholesterol, blood pressure or diabetes_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes_None < 0.50","Medication for cholesterol, blood pressure or diabetes_None","Medication for cholesterol, blood pressure or diabetes_None",0,0,0.0
Arm fat percentage (left),0.04672,0.20268,0.016,0.013,1,0.00409,Arm fat percentage (left),1.18,16282,20.9,-0.01 <= Arm fat percentage (left) < 0.61,Arm fat percentage (left),Arm fat percentage (left),0,0,0.0
LDL direct Blood biochemistry,0.04578,0.0,-0.06,-0.049,1,0.02966,LDL direct Blood biochemistry,1.34,9470,13.9,-2.70 <= LDL direct Blood biochemistry < -1.30,LDL direct Blood biochemistry,LDL direct Blood biochemistry,0,0,0.0
Alcohol intake frequency._Daily or almost daily,0.04239,0.0,0.057,0.057,1,0.00151,Alcohol intake frequency._Daily or almost daily,1.31,21296,30.42,Alcohol intake frequency._Daily or almost daily >= 0.50,Alcohol intake frequency._Daily or almost daily,Alcohol intake frequency._Daily or almost daily,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 gout",0.03962,0.0,0.193,0.193,1,0.0099,"Non-cancer illness code, self-reported | Array 2__gout",6.61,968,6.99,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50","Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2 gout",0,0,0.0
"Long-standing illness, disability or infirmity_No",0.03841,0.0,-0.087,-0.087,1,0.00378,"Long-standing illness, disability or infirmity_No",1.28,42073,58.95,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0,0,0.0
